Mol,Med,Voie,Cible,Indication,Code_LES,Code_ATU/Post_ATU/AAC/AAP/CPC,Code_UCD
REGORAFENIB,STIVARGA,,Digestif,En monothérapie dans le traitement des patients adultes atteints d’un carcinome hépatocellulaire (CHC) qui ont été traités antérieurement par sorafénib.,,,
RELUGOLIX,ORGOVYX,PO,Uro/néphrologie,Traitement des patients adultes atteints d'un cancer avancé de la prostate hormono-sensible,,,
REPOTRECTINIB,REPOTRECTINIB,PO,Bronchopulmonaire,"Cancer bronchique non à petites cellules avancé ou métastatique ROS1-positif, chez des patients adultes ayant déjà reçu une première ligne de traitement par Crizotinib",,NREPO03,9001028
REVUMENIB,REVUMENIB,PO,Hématologique,Leucémie aigüe myéloïde,,NREVU01,"9003712 (50 mg/mL)
9000488
9003710"
RIBOCICLIB,KISQALI,PO,Sein,"Chez les femmes dans le traitement du cancer du sein au stade localement avancé ou métastatique, avec récepteurs hormonaux (RH) positifs et récepteurs du facteur de croissance épidermique humain 2 (human epidermal growth factor receptor 2 [HER2]) négatifs en association avec un inhibiteur de l’aromatase ou avec le fulvestrant comme traitement initial à base d’hormonothérapie, ou chez les femmes traitées antérieurement par hormonothérapie.
 Chez les femmes en pré/périménopause, l’hormonothérapie doit être associée à un agoniste de l’hormone de libération de la lutéinostimuline (luteinising hormone releasing hormone, LHRH).",,,
RIPRETINIB,QINLOCK,PO,Digestif,"QINLOCK est indiqué dans le traitement des patients adultes atteints d’une tumeur stromale gastro-intestinale (GIST) avancée, ayant reçu au préalable un traitement par au moins trois inhibiteurs de la kinase, dont l’imatinib.",,CRIPR01,9002069
RIPRETINIB,RIPRETINIB,PO,Digestif,Tumeur gastro-intestinale (GIST) inopérable ou métastatique chez les patients ayant déjà reçu au moins 3 lignes de traitement par ITK (dont l’Imatinib).,,NRIPR03,
RITUXIMAB,MABTHERA,,Hématologique,"Chez les patients adultes atteints de LLC : en association à une chimiothérapie pour le traitement des patients atteints de LLC, non précédemment traités et en rechute ou réfractaires. Les données disponibles sur l'efficacité et la tolérance sont limitées chez les patients précédemment traités par des anticorps monoclonaux dont MabThera, ou chez les patients réfractaires à un traitement antérieur par MabThera en association à une chimiothérapie.",I000232,,"9197702 (100 mg)
9197719 (500 mg)"
RITUXIMAB,MABTHÉRA,IV,Hématologique,"Chez les patients adultes atteints de LLC : en association à une chimiothérapie pour le traitement des patients atteints de LLC, non précédemment traités et en rechute ou réfractaires. Les données disponibles sur l'efficacité et la tolérance sont limitées chez les patients précédemment traités par des anticorps monoclonaux dont MabThera, ou chez les patients réfractaires à un traitement antérieur par MabThera en association à une chimiothérapie.",I000232,,"9197702 (100 mg)
9197719 (500 mg)"
RITUXIMAB,RIXATHON,IV,Cf. médicament de référence,Autres indications => Voir Mabthéra (médicament biologique de référence),Cf. médicament de référence,,"9427450 (100 mg)
9427467 (500 mg)"
RITUXIMAB,RUXIENCE,IV,Cf. médicament de référence,Autres indications => Voir Mabthéra (médicament biologique de référence),Cf. médicament de référence,,"9000391 (100 mg)
9000392 (500 mg)"
RITUXIMAB,TRUXIMA,IV,Cf. médicament de référence,Autres indications => Voir Mabthéra (médicament biologique de référence),Cf. médicament de référence,,"9428165 (100 mg)
9423831 (500 mg)"
ROMIDEPSINE,ISTODAX,IV,Hématologique,"Lymphome T cutané chez l'adulte en rechute ou réfractaire, et taux de plaquettes ≥ 75 G/L, et taux de polynucléaires neutrophiles ≥ 1.5 G/L",,NROMI02,9374073
RUCAPARIB,RUBRACA,PO,Gynécologique,"En monothérapie pour le traitement d’entretien de patientes adultes atteintes d’un cancer épithélial de l’ovaire, de la trompe de Fallope ou péritonéal primitif, de haut grade, récidivant, sensible au platine, qui sont en réponse (complète ou partielle) à une chimiothérapie à base de platine.",,,
RUXOLITINIB,JAKAVI,PO,Hématologique,"Traitement de la splénomégalie ou des symptômes liés à la maladie chez l'adulte atteint de myélofibrose primitive (appelée également myélofibrose chronique idiopathique), de myélofibrose secondaire à la maladie de Vaquez (polycythémie vraie) ou de myélofibrose secondaire à la thrombocytémie essentielle",,,
RÉGORAFÉNIB,REGORAFENIB,,Autre,Sarcome d'Ewing,,NREGO01,
RÉGORAFÉNIB,RÉGORAFENIB,PO,Autre,Sarcome d'Ewing,,NREGO01,
RÉGORAFÉNIB,STIVARGA,PO,Digestif,En monothérapie dans le traitement des patients adultes atteints d’un carcinome hépatocellulaire (CHC) qui ont été traités antérieurement par sorafénib.,,,
SACITUZUMAB GOVITECAN,TRODELVY,IV,Sein,"En monothérapie pour le traitement des patients adultes atteints d’un cancer du sein RH positifs / HER2 négatifs (IHC 0, IHC 1+ ou IHC 2+/ISH-) non résécable ou métastatique, ayant reçu au moins deux lignes de chimiothérapie au stade métastatique",,CSACI02,9001995
SELINEXOR,NEXPOVIO,PO,Hématologique,"En association avec la dexaméthasone pour le traitement du myélome multiple chez les patients adultes qui ont reçu au moins quatre traitements antérieurs et dont la maladie est réfractaire à au moins deux inhibiteurs du protéasome, deux immunomodulateurs et un anticorps monoclonal anti-CD38, et chez qui la maladie a progressé lors du dernier traitement",,,
SELINEXOR,SELINEXOR,PO,Hématologique,"Traitement du lymphome B diffus à grandes cellules, de haut grade, en rechute ou réfractaire, en monothérapie après au moins 2 lignes de traitement incluant des anthracyclines et un anti-CD20 (rituximab) ET chez les patients inéligibles à la chimiothérapie intensive et à la greffe",,NSELI01,
SELITRECTINIB LOXO-195,SELITRECTINIB ,PO,Neuroendocrine,Traitement des carcinomes liés à une fusion NTRK traité antérieurement par un inhibiteur de TRK,,NLOXO01,"9000914 (50 mg)
9001045 (20 mg/mL)"
SELPERCATINIB,RETSEVMO,PO,Bronchopulmonaire,"En première ligne dans le traitement des patients adultes atteints d'un cancer du poumon non à petites cellules (NAPC) avancé présentant une fusion du gène RET, non précédemment traités par un inhibiteur de RET,",,,
SELPERCATINIB LOXO-292,SELPERCATINIB ,PO,Digestif,"Tumeur hépatocellulaire NOS métastatique, avec mutation délétère constitutionnelle de RET",,NLOXO02,9450093
SELUMETINIB,KOSELUGO,,Autre,En monothérapie dans le traitement des neurofibromes plexiformes (NFP) symptomatiques inopérables liés à la neurofibromatose de type 1 (NF1) chez les patients pédiatriques âgés de 3 ans et plus.,,,
SINTILIMAB,SINTILIMAB,IV,Tête et cou,Cancer de l'oesophage,,NSINT01,9003663
SONIDEGIB,ODOMZO,PO,Dermatologique,Traitement des patients adultes présentant un carcinome basocellulaire (CBC) localement avancé qui ne relève pas d'une chirurgie curative ou d'une radiothérapie,,,
SONIDEGIB,SONIDEGIB LDE225,PO,Tête et cou,"Médulloblastome, avec activation de la voie SHH, en rechute du traitement standard chez l’enfant",,NSONI01,9445057
SORAFENIB,NEXAVAR,,Digestif,Traitement du carcinome hépatocellulaire chez les patients de bon pronostic ayant une cirrhose hépatique de stade Child-Pugh A et non éligibles en première intention à un traitement chirurgical ou locorégional ou après échec de ces traitements ainsi que dans le traitement du carcinome thyroïdien différencié.,,,
SORAFÉNIB,NEXAVAR,PO,Digestif,Traitement du carcinome hépatocellulaire chez les patients de bon pronostic ayant une cirrhose hépatique de stade Child-Pugh A et non éligibles en première intention à un traitement chirurgical ou locorégional ou après échec de ces traitements ainsi que dans le traitement du carcinome thyroïdien différencié.,,,
SOTORASIB,LUMYKRAS,PO,Bronchopulmonaire,"En monothérapie, des patients atteints d'un cancer bronchique non à petites cellules (CBNPC) avancé, présentant la mutation KRAS G12C, dont la maladie a progressé après au moins une ligne de traitement systémique antérieur.",,CSOTO01,9001858
SOTORASIB,SOTORASIB ,PO,Bronchopulmonaire,"Monothérapie dans le traitement des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) KRAS p.G12C muté localement avancé, prétraités",,NSOTO05,
SUNITINIB,SUTENT,PO,Uro/néphrologie,Traitement des cancers du rein avancés/métastatiques (MRCC) chez l'adulte.,,,
SÉLUMÉTINIB,KOSELUGO,PO,Autre,En monothérapie dans le traitement des neurofibromes plexiformes (NFP) symptomatiques inopérables liés à la neurofibromatose de type 1 (NF1) chez les patients pédiatriques âgés de 3 ans et plus.,,,
TABELECLEUCEL,EBVALLO,IV,Hématologique,En monothérapie des adultes et enfants âgés de deux ans et plus atteints d'une maladie lymphoproliférative post-transplantation et positive au virus d'Epstein-Barr récidivante ou réfractaire (LPT EBV+) qui ont reçu au moins un traitement antérieur,,CTABE01,9003088
TAFASITAMAB,MINJUVI,IV,Hématologique,"MINJUVI est indiqué en association avec le lénalidomide, suivi par MINJUVI en monothérapie pour le traitement des patients adultes atteints d’un lymphome diffus à grandes cellules B (LDGCB) en rechute ou réfractaire, en 2ème ligne de traitement non éligibles à une autogreffe de cellules souches hématopoïétiques ou en 3ème ligne et plus, seulement chez les patients éligibles aux médicaments à base de CAR-T (KYMRIAH et YESCARTA)",,,
TAFASITAMAB,TAFASITAMAB,IV,Hématologique,Lymphome à cellules B,,NTAFA01,
TAGRAXOFUSP,ELZONRIS,IV,Hématologique,En monothérapie dans le néoplasme à cellules dendritiques plasmocytoïdes chez les patients âgés de 18 ans et plus,,NTAGR01,
TALAZOPARIB,TALZENNA,PO,Sein,"En monothérapie pour le traitement des patients adultes atteints d'un cancer du sein localement avancé ou métastatique HER2 négatif et présentant des mutations germinales BRCA1/2. Les patients doivent avoir été précédemment traités par une anthracycline et/ou un taxane au stade (néo)adjuvant, localement avancé ou métastatique, sauf s'ils n'étaient pas éligibles à ce type de traitement (cf Pharmacodynamie). Les patients atteints d'un cancer du sein positif aux récepteurs hormonaux (RH) doivent préalablement avoir reçu une hormonothérapie ou être considérés comme non éligibles à une hormonothérapie",,,
TALQUETAMAB,TALVEY,IV,Hématologique,"En monothérapie dans le traitement des patients adultes atteints de myélome multiple récidivant et réfractaire, qui ont reçu au moins trois traitements antérieurs, y compris un agent immunomodulateur, un inhibiteur du protéasome et un anticorps anti-CD38, et dont la maladie a progressé après le dernier traitement.",,,
TAMOXIFENE,NOLVADEX,,Sein,Traitement du carcinome mammaire soit en traitement adjuvant (traitement préventif des récidives) soit en traitement des formes évoluées avec progression locale et/ou métastatique. L'efficacité de cette thérapeutique est plus importante chez les femmes dont la tumeur contient des récepteurs de l'estradiol et/ou de la progestérone.,,,
TAMOXIFÈNE,NOLVADEX,PO,Sein,Traitement du carcinome mammaire soit en traitement adjuvant (traitement préventif des récidives) soit en traitement des formes évoluées avec progression locale et/ou métastatique. L'efficacité de cette thérapeutique est plus importante chez les femmes dont la tumeur contient des récepteurs de l'estradiol et/ou de la progestérone.,,,
TAZEMETOSTAT,TAZVERIK,PO,Autre,Sarcome épithélioïde avancé non résécable,,NTAZE02,"9001051 (200 mg)
9001052 (2g)"
TEBENTAFUSP,KIMMTRAK,IV,Autre,En monothérapie pour le traitement des patients adultes HLA-A*02 :01-positifs atteints de mélanome uvéal non résécable ou métastatique,,CTEBE01,9002573
TEBENTAFUSP,TEBENTAFUSP ,IV,Autre,Mélanome uvéal,,NTEBE01,
TECLISTAMAB,TECLISTAMAB,SC,Hématologique,"Traitement, à partir de la 4e ligne, du myélome multiple en rechute et réfractaire chez l'adulte ayant reçu au moins trois traitements antérieurs, dont un agent immunomodulateur, un inhibiteur de protéasome et un anticorps anti-CD38 et dont la maladie s'est aggravée depuis le dernier traitement.",,NTECL01,
TECLISTAMAB,TECVAYLI,SC,Hématologique,"En monothérapie, pour le traitement des patients adultes atteints d’un myélome multiple en rechute et réfractaire, ayant reçu au moins trois traitements antérieurs, incluant un agent immuno-modulateur, un inhibiteur du protéasome et un anticorps anti-CD38 et dont la maladie a progressé pendant le dernier traitement, lorsque toutes les options thérapeutiques ont été épuisées (hors thérapies cellulaires), sur l’avis d’une réunion de concertation pluridisciplinaire (RCP)",,CTECL01,"9002653 (10 mg/mL)
9002654 (90 mg/mL)"
TEGAFUR/GIMERACIL/OTERACIL,TEYSUNO,,Digestif,"En monothérapie ou en association à l'oxaliplatine ou à l'irinotécan, avec ou sans bévacizumab, pour le traitement des patients atteints d'un cancer colorectal métastatique pour lesquels il n'est pas possible de poursuivre le traitement avec une autre fluoropyrimidine en raison d'un syndrome main-pied ou d'une toxicité cardiovasculaire en phase adjuvante ou métastatique",,,
TELISOTUZUMAB VEDOTIN,TELISOTUZUMAB VEDOTIN,IV,Bronchopulmonaire,Cancer bronchique non à petites cellules,,NTELI01,9003657
TEMOZOLOMIDE,KIMOZO,PO,SNC,"En monothérapie ou en association à un inhibiteur spécifique de l'ADN topoisomérase I (irinotécan ou topotecan) dans le traitement des patients pédiatriques âgés de 1 à 6 ans et chez les patients âgés de plus de 6 ans dans l’incapacité d’avaler le témozolomide sous forme de gélule et atteints : 
- d’un neuroblastome à haut risque réfractaire ou présentant une réponse insuffisante à la chimiothérapie d’induction. 
- d’un neuroblastome à haut risque récidivant après une réponse au moins partielle à la chimiothérapie d’induction suivie d’un traitement myéloablatif et d’une greffe de cellules souches",,CTEMO01,9002292
TEMOZOLOMIDE,TEMODAL,IV,SNC,"Traitement des enfants à partir de 3 ans, des adolescents et des patients adultes atteints d'un gliome malin, tel que glioblastome multiforme ou astrocytome anaplasique, présentant une récidive ou une progression après un traitement standard.",,,
TEMSIROLIMUS,TORISEL,IV,Uro/néphrologie,Traitement de première intention du carcinome rénal (CR) avancé chez les patients adultes présentant au moins 3 des 6 facteurs de risque pronostique.,I000352,,9304776
TEPOTINIB,TEPMETKO,PO,Bronchopulmonaire,Cancer bronchique non à petites cellules avancé ou métastatique porteurs d’une mutation de c-MET affectant l’exon 14,,NTEPO03,
THALIDOMIDE,THALIDOMIDE,PO,Hématologique,"En association au melphalan et à la prednisone, pour le traitement de première ligne des patients âgés de plus de 65 ans présentant un myélome multiple non traité ou présentant une contre-indication à la chimiothérapie à haute dose.",,,
THIOGUANINE,LANVIS,PO,Hématologique,Traitement des leucémies aiguës lymphoides,,,
THIOTHEPA,TEPADINA,,Hématologique,"TEPADINA est indiqué, en association avec d'autres chimiothérapies :
 - avec ou sans irradiation corporelle totale (TBI), comme traitement de conditionnement préalable à une greffe allogénique ou autologue de cellules souches hématopoïétiques (GCSH), dans les maladies hématologiques de patients adultes et pédiatriques ,
 - lorsqu'une chimiothérapie intensive avec support d'une GCSH est appropriée pour le traitement de tumeurs solides chez les patients adultes et pédiatrique",,,
THIOTHEPA,THIOTHÉPA GENOPHARM,,Autre,"Cancer de l’ovaire
Cancer du sein
Cancer de la vessie (en instillation vésicale)",,,
THIOTHÉPA,TEPADINA,IV,Hématologique,"TEPADINA est indiqué, en association avec d'autres chimiothérapies :
 - avec ou sans irradiation corporelle totale (TBI), comme traitement de conditionnement préalable à une greffe allogénique ou autologue de cellules souches hématopoïétiques (GCSH), dans les maladies hématologiques de patients adultes et pédiatriques ,
 - lorsqu'une chimiothérapie intensive avec support d'une GCSH est appropriée pour le traitement de tumeurs solides chez les patients adultes et pédiatrique",,,
THIOTHÉPA,THIOTHEPA GENOPHARM,,Autre,"Cancer de l’ovaire
Cancer du sein
Cancer de la vessie (en instillation vésicale)",,,
THIOTHÉPA,THIOTHÉPA GENOPHARM,IV,Autre,"Cancer de l’ovaire
Cancer du sein
Cancer de la vessie (en instillation vésicale)",,,
TIPIFARNIB,TIPIFARNIB,PO,Autre,"Tumeur maligne avancée non hématologique avec mutation HRAS, après échec des traitements de référence",,NTIPI01,9431902
TISAGENLECLEUCEL,KYMRIAH,IV,Hématologique,Traitement des patients adultes atteints d’un lymphome diffus à grandes cellules B réfractaire ou en rechute après la deuxième ligne ou plus d’un traitement systémique ,I000478,,9439938
TISLELIZUMAB,TEVIMBRA,IV,Digestif,"Carcinome épidermoïde de l'œsophage non résécable, localement avancé ou métastatique après une chimiothérapie à base de sel de platine.",,,
TIVOZANIB,FOTIVDA,PO,Uro/néphrologie,Traitement de première ligne chez des patients adultes atteints d’un carcinome à cellules rénales (CCR) avancé et chez des patients adultes n’ayant jamais reçu d’inhibiteur des voies VEGFR et mTOR suite à une progression de la maladie après un traitement antérieur par cytokine pour leur CCR avancé.,,,
TOPOTECAN,HYCAMTIN,,Gynécologique,"En association avec le cisplatine, chez les patientes présentant un carcinome du col de l’utérus en rechute après radiothérapie ou chez les patientes présentant un stade IV-B de la maladie. Chez les patientes ayant été préalablement exposées au cisplatine, il est nécessaire de respecter un intervalle libre de traitement suffisant afin de justifier un traitement par l’association",,,
TOPOTÉCAN,HYCAMTIN,IV,Gynécologique,"En association avec le cisplatine, chez les patientes présentant un carcinome du col de l’utérus en rechute après radiothérapie ou chez les patientes présentant un stade IV-B de la maladie. Chez les patientes ayant été préalablement exposées au cisplatine, il est nécessaire de respecter un intervalle libre de traitement suffisant afin de justifier un traitement par l’association",,,
TOREMIFENE,FARESTON,,Sein,Traitement hormonal de première intention du cancer métastatique du sein hormono-sensible de la femme ménopausée. L'administration de Fareston n'est pas recommandée chez les patientes dont les tumeurs n'ont pas de récepteurs aux estrogènes.,,,
TORÉMIFÈNE,FARESTON,PO,Sein,Traitement hormonal de première intention du cancer métastatique du sein hormono-sensible de la femme ménopausée. L'administration de Fareston n'est pas recommandée chez les patientes dont les tumeurs n'ont pas de récepteurs aux estrogènes.,,,
TRABECTEDINE,YONDELIS,,Gynécologique,En association avec la doxorubicine liposomale pégylée (DLP) est indiqué chez les patientes atteintes de cancer des ovaires récidivant sensible au platine.,I000383,,"9003102 (Ever pharma 0,25 mg)
9003103 (Ever pharma 1 mg)
9002041 (Teva 0,25mg)
9002042 (Teva 1 mg)
9290519 (Yondelis 0,25 mg)
9290525 (Yondelis 1 mg)"
TRABECTEDINE,YONDÉLIS,,Sarcome,"Chez les patients adultes atteints de sarcome des tissus mous évolué, après échec de traitements à base d'anthracyclines et d'ifosfamide, ou chez les patients ne pouvant pas recevoir ces médicaments. Les données d'efficacité ont principalement été obtenues chez des patients atteints de liposarcome et de léiomyosarcome.",I000382,,"9002041 (Teva 0,25mg)
9002042 (Teva 1 mg)
9290519 (Yondelis 0,25 mg)
9290525 (Yondelis 1 mg)"
TRABECTÉDINE,YONDELIS,IV,Gynécologique,En association avec la doxorubicine liposomale pégylée (DLP) est indiqué chez les patientes atteintes de cancer des ovaires récidivant sensible au platine.,I000383,,"9003102 (Ever pharma 0,25 mg)
9003103 (Ever pharma 1 mg)
9002041 (Teva 0,25mg)
9002042 (Teva 1 mg)
9290519 (Yondelis 0,25 mg)
9290525 (Yondelis 1 mg)"
TRABECTÉDINE,YONDÉLIS,IV,Sarcome,"Chez les patients adultes atteints de sarcome des tissus mous évolué, après échec de traitements à base d'anthracyclines et d'ifosfamide, ou chez les patients ne pouvant pas recevoir ces médicaments. Les données d'efficacité ont principalement été obtenues chez des patients atteints de liposarcome et de léiomyosarcome.",I000382,,"9002041 (Teva 0,25mg)
9002042 (Teva 1 mg)
9290519 (Yondelis 0,25 mg)
9290525 (Yondelis 1 mg)"
TRAMETINIB,MEKINIST,,Dermatologique,"En association au dabrafénib dans le traitement adjuvant des patients adultes atteints d'un mélanome de stade III porteurs d'une mutation BRAF V600, après résection complète.",,,
TRAMETINIB,SPEXOTRAS,,SNC,En association au dabrafénib dans le traitement des patients pédiatriques âgés de 1 an et plus atteints d’un gliome de bas grade (GBG) porteur d’une mutation BRAF V600E qui nécessitent un traitement par voie systémique,,CDABA01,9443294
TRAMETINIB,TRAMÉTINIB,,SNC,Gliome de bas grade BRAFV600E en association à dabrafenib,,NTRAM09,9443294
TRAMÉTINIB,MEKINIST,PO,Dermatologique,"En association au dabrafénib dans le traitement adjuvant des patients adultes atteints d'un mélanome de stade III porteurs d'une mutation BRAF V600, après résection complète.",,,
TRAMÉTINIB,SPEXOTRAS,PO,SNC,En association au dabrafénib dans le traitement des patients pédiatriques âgés de 1 an et plus atteints d’un gliome de bas grade (GBG) porteur d’une mutation BRAF V600E qui nécessitent un traitement par voie systémique,,CDABA01,9443294
TRAMÉTINIB,TRAMETINIB,,SNC,Gliome de bas grade BRAFV600E en association à dabrafenib,,NTRAM09,9443294
TRAMÉTINIB,TRAMÉTINIB,PO,SNC,Gliome de bas grade BRAFV600E en association à dabrafenib,,NTRAM09,9443294
TRASTUZUMAB,HERCEPTIN,IV,Digestif,"Traitement de l'adénocarcinome métastatique de l'estomac ou de la jonction œsogastrique HER2 positif, en association à la capécitabine ou au 5-fluoro-uracile et au cisplatine, chez les patients adultes n'ayant pas été précédemment traités pour leur maladie métastatique. 
Utilisé uniquement chez les patients atteints d'un cancer gastrique métastatique dont les tumeurs présentent une surexpression de HER2 définie par IHC2+ confirmée par un résultat FISH+ ou SISH+, ou par IHC3+. Des méthodes d'analyse précises et validées doivent être utilisées",I000167,,9220097
TRASTUZUMAB,HERZUMA,IV,Cf. médicament de référence,Autres indications => Voir Herceptin (médicament biologique de référence),Cf. médicament de référence,,"9435604 (150 mg)
9442455 (420 mg)"
TRASTUZUMAB,KANJINTI,IV,Cf. médicament de référence,Autres indications => Voir Herceptin (médicament biologique de référence),Cf. médicament de référence,,"9438761 (150 mg)
9438778 (420 mg)"
TRASTUZUMAB,OGIVRI,IV,Cf. médicament de référence,Autres indications => Voir Herceptin (médicament biologique de référence),Cf. médicament de référence,,"9444069 (150 mg)
9450555 (420 mg)"
TRASTUZUMAB,ONTRUZANT,IV,Cf. médicament de référence,Autres indications => Voir Herceptin (médicament biologique de référence),Cf. médicament de référence,,"9438347 (150 mg)
9447441 (420 mg)"
TRASTUZUMAB,TRAZIMERA,IV,Cf. médicament de référence,Autres indications => Voir Herceptin (médicament biologique de référence),Cf. médicament de référence,,"9441728 (150 mg)
9449546 (420 mg)"
TRASTUZUMAB,ZERCEPAC,IV,Cf. médicament de référence,Autres indications => Voir Herceptin (médicament biologique de référence),Cf. médicament de référence,,"9000666 (150 mg)
9001647 (420 mg)
9001648 (60 mg)"
TRASTUZUMAB DERUXTECAN,ENHERTU,IV,Sein,"En monothérapie pour le traitement des patients adultes atteints d’un cancer du sein HER2- faible (IHC 1+ ou IHC 2+/ISH-) non résécable ou métastatique qui ont reçu au moins une ligne de chimiothérapie au stade métastatique ou qui ont développé une récidive de la maladie pendant ou dans les 6 mois suivant la fin d’une chimiothérapie adjuvante. 
Les patients atteints d’un cancer du sein avec des récepteurs hormonaux positifs doivent aussi avoir reçu au moins une hormonothérapie et être non éligibles à une nouvelle ligne d’hormonothérapie ",,CDERU04,9001055
TRASTUZUMAB EMTANSINE,KADCYLA,IV,Sein,"En monothérapie, est indiqué dans le traitement adjuvant de patients adultes atteints d’un cancer du sein précoce HER2 positif qui présentent une maladie résiduelle invasive, au niveau du sein et/ou des ganglions lymphatiques, après un traitement néoadjuvant à base de taxane et d’un traitement anti-HER2.",I000506,,"9400043 (100 mg)
9400066 (160 mg)"
TREMELIMUMAB,IMJUDO,,Digestif,"En association avec IMFINZI dans le traitement de première ligne des patients adultes atteints d'un carcinome hépatocellulaire (CHC) avancé ou non résécable, avec une fonction hépatique préservée (stade Child-Pugh A), avec un score ECOG 0 ou 1, non éligibles aux traitements locorégionaux ou en échec à l’un de ces traitements, et non éligibles à un traitement par l’association atezolizumab bevacizumab",,CTREM01,"9003121 (flacon 1,25 mL)
9003122 (flacon 15 mL)"
TREOSULFAN,TRECONDI,,Hématologique,En assocation avec la fludarabine comme traitement de conditionnement préalabale à une greffe allogénique de cellules souches hématopoiétiques (CSH) chez les patients adultes et les enfants âgés de plus d'un mois et les adolescents atteints de pathologies malignes,,,
TRIFLURIDINE ET TIPIRACIL,LONSURF,PO,Digestif,"En monothérapie chez les adultes atteints d’un cancer colorectal métastatique (CCRm) :
 - précédemment traités par les traitements disponibles comprenant les chimiothérapies à base de fluoropyrimidine, d’oxaliplatine et d’irinotecan, les agents anti-VEGF et les agents antiEGFR,
 - ou qui ne sont pas éligibles à ces traitements.",,,
TRIPTORELINE,DECAPEPTYL,IM,Sein,"Traitement adjuvant, en association avec le tamoxifène ou un inhibiteur de l'aromatase, du cancer du sein hormonosensible à un stade précoce chez des femmes à haut risque de récidive, confirmées comme non ménopausées à l’issue d’une chimiothérapie.
 
Uniquement pour les formes LP 3 mg (IM)",,,
TRIPTORELINE,GONAPEPTYL,"IM
 SC",Uro/néphrologie,Traitement du cancer de la prostate hormono-dépendant localement avancé ou métastatique.,,,
TRÉMÉLIMUMAB,IMJUDO,IV,Digestif,"En association avec IMFINZI dans le traitement de première ligne des patients adultes atteints d'un carcinome hépatocellulaire (CHC) avancé ou non résécable, avec une fonction hépatique préservée (stade Child-Pugh A), avec un score ECOG 0 ou 1, non éligibles aux traitements locorégionaux ou en échec à l’un de ces traitements, et non éligibles à un traitement par l’association atezolizumab bevacizumab",,CTREM01,"9003121 (flacon 1,25 mL)
9003122 (flacon 15 mL)"
TRÉOSULFAN,TRECONDI,IV,Hématologique,En assocation avec la fludarabine comme traitement de conditionnement préalabale à une greffe allogénique de cellules souches hématopoiétiques (CSH) chez les patients adultes et les enfants âgés de plus d'un mois et les adolescents atteints de pathologies malignes,,,
TUCATINIB,TUKYSA,PO,Sein,Tucatinib est indiqué en association avec trastuzumab et capécitabine chez les patients adultes atteints d'un cancer du sein HER2+ localement avancé non résécable ou métastatique (y compris avec des métastases cérébrales) ayant progressé après deux lignes de traitement anti-HER2,,,
TÉGAFUR/GIMÉRACIL/OTÉRACIL,TEYSUNO,PO,Digestif,"En monothérapie ou en association à l'oxaliplatine ou à l'irinotécan, avec ou sans bévacizumab, pour le traitement des patients atteints d'un cancer colorectal métastatique pour lesquels il n'est pas possible de poursuivre le traitement avec une autre fluoropyrimidine en raison d'un syndrome main-pied ou d'une toxicité cardiovasculaire en phase adjuvante ou métastatique",,,
VANDETANIB,CAPRELSA,,Neuroendocrine,"Dans le traitement du cancer médullaire de la thyroïde (CMT) agressif et symptomatique chez les patients avec une maladie localement avancée non opérable ou métastatique (adolescents et enfants âgés de plus de 5 ans).
Chez les patients pour lesquels la mutation réarrangée au cours d'une transfection (RET) n’est pas connue ou est négative, l’éventualité d’un bénéfice plus faible doit être prise en considération avant la décision d’un traitement individuel",,,
VANDÉTANIB,CAPRELSA,PO,Neuroendocrine,"Dans le traitement du cancer médullaire de la thyroïde (CMT) agressif et symptomatique chez les patients avec une maladie localement avancée non opérable ou métastatique (adolescents et enfants âgés de plus de 5 ans).
Chez les patients pour lesquels la mutation réarrangée au cours d'une transfection (RET) n’est pas connue ou est négative, l’éventualité d’un bénéfice plus faible doit être prise en considération avant la décision d’un traitement individuel",,,
VEMURAFENIB,ZELBORAF,,Dermatologique,En monothérapie dans le traitement des patients adultes atteints d'un mélanome non résécable ou métastatique porteur d'une mutation BRAF V600.,,,
VENETOCLAX,VENCLYXTO,PO,Hématologique,"En association avec l’obinutuzumab, est indiqué pour le traitement des patients adultes atteints d’une Leucémie Lymphoïde Chronique (LLC) non précédemment traités.",,,
VINCRISTINE,ONCOVIN,IV,Hématologique,Monochimiothérapie dans les leucémies aiguës lymphoblastiques (en association avec des corticoides),,,
VINCRISTINE LIPOSOMALE,MARQIBO KIT,IV,Hématologique,"Traitement de la leucémie aigüe lymphoblastique Phi négatif réfractaire ou en rechute à au moins deux lignes de traitement, dont au moins une ligne ayant permis une réponse complète, non éligible à une greffe au moment de la demande d’ATU et en l’absence de neuropathie sévère pré-existante ou de maladie démyélinisante sous-jacente, notamment le syndrome de Charcot Marie Tooth.",,NVINC01,9423446
VINDESINE,ELDISINE,IV,Hématologique,"Leucémies aiguës lymphoblastiques et lymphomes réfractaires à la chimiothérapie (autres agents cytostatiques).
Certaines tumeurs solides : sein, œsophage, voies aérodigestives supérieures, cancer broncho-pulmonaire.",,,
VINFLUNINE,JAVLOR,IV,Uro/néphrologie,"En monothérapie pour le traitement des patients adultes atteints de carcinome urothélial à cellules transitionnelles avancé ou métastatique après échec d'un traitement préalable à base de platine. 
 L'efficacité et la tolérance de vinflunine n'ont pas été étudiées chez les patients avec un performance status (PS) ≥ 2.",,,
